🔒 Row ID,usuario_email,admin_acesso,nome,preco_venda,rendimento_receita,ticket_medio,ticket_medio copy,preco_medio,custo_total_receita,cmv,cmv_porcentagem,cmv_porcentagem copy copy,t_cmv,produto_p_pedido,despesa_variavel,margem_cont,margem_cont_porcentagem,t_margem_cont,t_margem_cont copy,R_margem_cliente,R_margem_cliente_a,R_margem_media,R_margem_media_cliente,custo_subproduto,status,preco_venda copy,preco_venda copy cli,preco_venda_status_ativo,if_margem_media,if_margem_media_cli,if_margem_media_ativo,if_margem_media_ativo_cli,R_margem_media copy,R_margem_media copy copy,margem_cont_porcentagem_ativo,cmv_porcentagem_ativo,cmv_porcentagem_ativo copy
taXl3ctUQ12JyVSYf-WD5g,nilvanelopes@hotmail.com,Admin,"DOGÃO			
",83,1,44,"144,32","33,8664516129","34,239923616","34,239923616","41,2529200193","34,3277773256","R$ 34,24 (41,25%)","1,2992208485",5,"44,610076384","53,7470799807","R$ 44,61 (53,75%)","R$ 44,61 (53,75%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
wKFma33lQw6pU1KN1dm4ZQ,nilvanelopes@hotmail.com,Admin,"TROPEIRO			
",25,1,44,"144,32","33,8664516129","7,9782857143","7,9782857143","31,9131428571","34,3277773256","R$ 7,98 (31,91%)","1,2992208485",5,"15,7717142857","63,0868571429","R$ 15,77 (63,09%)","R$ 15,77 (63,09%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
53UYFYzQRA2KNymFKivJJA,nilvanelopes@hotmail.com,Admin," PIZZA ALHO E OLEO			
",48,1,44,"144,32","33,8664516129","14,1658823529","14,1658823529","29,512254902","34,3277773256","R$ 14,17 (29,51%)","1,2992208485",5,"31,4341176471","65,487745098","R$ 31,43 (65,49%)","R$ 31,43 (65,49%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
N9n.uzQ2RA-Sf0Cxrz5f-g,nilvanelopes@hotmail.com,Admin,"PIZZA CALABRESA			
","63,9",1,44,"144,32","33,8664516129","18,9158823529","18,9158823529","29,6023198012","34,3277773256","R$ 18,92 (29,60%)","1,2992208485",5,"41,7891176471","65,3976801988","R$ 41,79 (65,40%)","R$ 41,79 (65,40%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
5ypv5yEwQt-0PfpsPeeg1w,nilvanelopes@hotmail.com,Admin,"PIZZA AMENDOIM 			
",48,1,44,"144,32","33,8664516129","16,67","16,67","34,7291666667","34,3277773256","R$ 16,67 (34,73%)","1,2992208485",5,"28,93","60,2708333333","R$ 28,93 (60,27%)","R$ 28,93 (60,27%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
DPE7PBoESrujlCblfDas0A,nilvanelopes@hotmail.com,Admin,"PIZZA BACON			
",48,1,44,"144,32","33,8664516129","15,8818823529","15,8818823529","33,087254902","34,3277773256","R$ 15,88 (33,09%)","1,2992208485",5,"29,7181176471","61,912745098","R$ 29,72 (61,91%)","R$ 29,72 (61,91%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
yy0jCeDTQ-6nlTqQnLvCwQ,nilvanelopes@hotmail.com,Admin,"PIZZA BANA NEVADA			
",48,1,44,"144,32","33,8664516129","23,8","23,8","49,5833333333","34,3277773256","R$ 23,80 (49,58%)","1,2992208485",5,"21,8","45,4166666667","R$ 21,80 (45,42%)","R$ 21,80 (45,42%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
22fe8ZVqSaiYea.bW3mxSg,nilvanelopes@hotmail.com,Admin,"CHOCOLATE BRANCO			
",48,1,44,"144,32","33,8664516129","16,5","16,5","34,375","34,3277773256","R$ 16,50 (34,38%)","1,2992208485",5,"29,1","60,625","R$ 29,10 (60,63%)","R$ 29,10 (60,63%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
36nXGaotSge.zaXnfPmluA,nilvanelopes@hotmail.com,Admin,"CHOCOLATE MEIO AMARGO			
",48,1,44,"144,32","33,8664516129","17,7","17,7","36,875","34,3277773256","R$ 17,70 (36,88%)","1,2992208485",5,"27,9","58,125","R$ 27,90 (58,12%)","R$ 27,90 (58,12%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
e9lbIg.qRE-nqh1hSAGFyg,nilvanelopes@hotmail.com,Admin,"PIZZA CHOCOLATE AO LEITE			
","59,9",1,44,"144,32","33,8664516129","14,7","14,7","24,5409015025","34,3277773256","R$ 14,70 (24,54%)","1,2992208485",5,"42,205","70,4590984975","R$ 42,21 (70,46%)","R$ 42,21 (70,46%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
UeKZ8fTCQQawUd.wH2ismg,nilvanelopes@hotmail.com,Admin,"PIZZA CONFETES			
",48,1,44,"144,32","33,8664516129","29,02","29,02","60,4583333333","34,3277773256","R$ 29,02 (60,46%)","1,2992208485",5,"16,58","34,5416666667","R$ 16,58 (34,54%)","R$ 16,58 (34,54%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
A91586VQQm--MhyY-u6jmg,nilvanelopes@hotmail.com,Admin,"PIZZA DOIS AMORES			
",48,1,44,"144,32","33,8664516129","23,73","23,73","49,4375","34,3277773256","R$ 23,73 (49,44%)","1,2992208485",5,"21,87","45,5625","R$ 21,87 (45,56%)","R$ 21,87 (45,56%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
WrtIJWjtQ3yaVig2MBkJ-w,nilvanelopes@hotmail.com,Admin,"PIZZA FRANGO CATUPIRY			
",48,1,44,"144,32","33,8664516129","20,3121568627","20,3121568627","42,3169934641","34,3277773256","R$ 20,31 (42,32%)","1,2992208485",5,"25,2878431373","52,6830065359","R$ 25,29 (52,68%)","R$ 25,29 (52,68%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
Gsm4akg0R2q.T.596PeoRw,nilvanelopes@hotmail.com,Admin,"PIZZA KARTOFEL			
",48,1,44,"144,32","33,8664516129","22,5325490196","22,5325490196","46,9428104575","34,3277773256","R$ 22,53 (46,94%)","1,2992208485",5,"23,0674509804","48,0571895425","R$ 23,07 (48,06%)","R$ 23,07 (48,06%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
TqZnmmdsQ5WW.r-a1oL-fg,nilvanelopes@hotmail.com,Admin,"PIZZA LOMBO			
",48,1,44,"144,32","33,8664516129","29,7325490196","29,7325490196","61,9428104575","34,3277773256","R$ 29,73 (61,94%)","1,2992208485",5,"15,8674509804","33,0571895425","R$ 15,87 (33,06%)","R$ 15,87 (33,06%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
BHJM1CWISauxdOKyMOVjhw,nilvanelopes@hotmail.com,Admin,"PIZZA MARGUERITA			
",48,1,44,"144,32","33,8664516129","17,1838823529","17,1838823529","35,799754902","34,3277773256","R$ 17,18 (35,80%)","1,2992208485",5,"28,4161176471","59,200245098","R$ 28,42 (59,20%)","R$ 28,42 (59,20%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
Iaxun6kyS-671QB-3oII5w,nilvanelopes@hotmail.com,Admin,"PIZZA MILHO			
",48,1,44,"144,32","33,8664516129","23,4603921569","23,4603921569","48,8758169935","34,3277773256","R$ 23,46 (48,88%)","1,2992208485",5,"22,1396078431","46,1241830065","R$ 22,14 (46,12%)","R$ 22,14 (46,12%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
ALHz0BrtTwy4QePganTY-g,nilvanelopes@hotmail.com,Admin,"PIZZA MUSSARELA			
",48,1,44,"144,32","33,8664516129","21,5038823529","21,5038823529","44,799754902","34,3277773256","R$ 21,50 (44,80%)","1,2992208485",5,"24,0961176471","50,200245098","R$ 24,10 (50,20%)","R$ 24,10 (50,20%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
clv5nyZ5SeyaKEIiXd3DCw,nilvanelopes@hotmail.com,Admin,"PIZZA OVOMALTINE			
",48,1,44,"144,32","33,8664516129","26,82","26,82","55,875","34,3277773256","R$ 26,82 (55,88%)","1,2992208485",5,"18,78","39,125","R$ 18,78 (39,13%)","R$ 18,78 (39,13%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
t4WdveFYS4y7Dg9LlZlCcA,nilvanelopes@hotmail.com,Admin,"PIZZA PAÇOCA			
","59,9",1,44,"144,32","33,8664516129","23,12","23,12","38,5976627713","34,3277773256","R$ 23,12 (38,60%)","1,2992208485",5,"33,785","56,4023372287","R$ 33,79 (56,40%)","R$ 33,79 (56,40%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
UIqsDsvPQ6aOb2rzJz6VYQ,nilvanelopes@hotmail.com,Admin,"PIZZA PEITO DE PERU			
",48,1,44,"144,32","33,8664516129","21,6925490196","21,6925490196","45,1928104575","34,3277773256","R$ 21,69 (45,19%)","1,2992208485",5,"23,9074509804","49,8071895425","R$ 23,91 (49,81%)","R$ 23,91 (49,81%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
Qdd8N2.STsSozp1HFbGGGQ,nilvanelopes@hotmail.com,Admin,"PIZZA PORTUGUESA			
",48,1,44,"144,32","33,8664516129","16,8258823529","16,8258823529","35,0539215686","34,3277773256","R$ 16,83 (35,05%)","1,2992208485",5,"28,7741176471","59,9460784314","R$ 28,77 (59,95%)","R$ 28,77 (59,95%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
HqlayPnbTGOA5Bv1vQzsyQ,nilvanelopes@hotmail.com,Admin,"PIZZA 4 QUEIJOS			
",48,1,44,"144,32","33,8664516129","16,0192156863","16,0192156863","33,3733660131","34,3277773256","R$ 16,02 (33,37%)","1,2992208485",5,"29,5807843137","61,6266339869","R$ 29,58 (61,63%)","R$ 29,58 (61,63%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
AaZhixDuQ0-j9GmBe.qmAw,nilvanelopes@hotmail.com,Admin,"PIZZA ROMEU E JULIETA			
",48,1,44,"144,32","33,8664516129","13,59","13,59","28,3125","34,3277773256","R$ 13,59 (28,31%)","1,2992208485",5,"32,01","66,6875","R$ 32,01 (66,69%)","R$ 32,01 (66,69%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
VsQYv2RGQfm-0djvyspPtA,nilvanelopes@hotmail.com,Admin,"PIZZA SALAME ITALIANO			
",48,1,44,"144,32","33,8664516129","15,6658823529","15,6658823529","32,637254902","34,3277773256","R$ 15,67 (32,64%)","1,2992208485",5,"29,9341176471","62,362745098","R$ 29,93 (62,36%)","R$ 29,93 (62,36%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
k4p9.yukROKS67f30rLmig,nilvanelopes@hotmail.com,Admin,"PIZZA TOSCANA			
",48,1,44,"144,32","33,8664516129","13,5458823529","13,5458823529","28,2205882353","34,3277773256","R$ 13,55 (28,22%)","1,2992208485",5,"32,0541176471","66,7794117647","R$ 32,05 (66,78%)","R$ 32,05 (66,78%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
wFVKUUNWTNaut5OJLSdQDg,uaibraunie@gmail.com,Admin,Brownie,"9,9",1,44,"144,32","33,8664516129","6,9404761905","6,9404761905","70,1058201058","34,3277773256","R$ 6,94 (70,11%)","1,2992208485",5,"2,4645238095","24,8941798942","R$ 2,46 (24,89%)","R$ 2,46 (24,89%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
ZIEaqNvQRpaRx3DbXohtJw,paranalanches94@gmail.com,Admin,Americano,"36,9",1,44,"144,32","33,8664516129","10,5318725677","10,5318725677","28,5416600751","34,3277773256","R$ 10,53 (28,54%)","1,2992208485",5,"24,5231274323","66,4583399249","R$ 24,52 (66,46%)","R$ 24,52 (66,46%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
sg2yHhWeQeWXDpgmnHWoEw,paranalanches94@gmail.com,Admin,Bauru,"25,9",1,44,"144,32","33,8664516129","8,2117549206","8,2117549206","31,7056174542","34,3277773256","R$ 8,21 (31,71%)","1,2992208485",5,"16,3932450794","63,2943825458","R$ 16,39 (63,29%)","R$ 16,39 (63,29%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
npf5P7O-QiicIbQkGkMLLw,paranalanches94@gmail.com,Admin,Churrasco Especial,"54,99",1,44,"144,32","33,8664516129","24,2580725677","24,2580725677","44,1136071426","34,3277773256","R$ 24,26 (44,11%)","1,2992208485",5,"27,9824274323","50,8863928574","R$ 27,98 (50,89%)","R$ 27,98 (50,89%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
ANWmgr3dRsq6-gSEMjrcDw,paranalanches94@gmail.com,Admin,Churrasco Simples,"43,99",1,44,"144,32","33,8664516129","20,0020725677","20,0020725677","45,4695898334","34,3277773256","R$ 20,00 (45,47%)","1,2992208485",5,"21,7884274323","49,5304101666","R$ 21,79 (49,53%)","R$ 21,79 (49,53%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
ONnnRNYYQ76S.DFT7JO8Iw,paranalanches94@gmail.com,Admin,Galinhão,"39,99",1,44,"144,32","33,8664516129","12,4282725677","12,4282725677","31,078451032","34,3277773256","R$ 12,43 (31,08%)","1,2992208485",5,"25,5622274323","63,921548968","R$ 25,56 (63,92%)","R$ 25,56 (63,92%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
ZBuMsuLeTZmjdDliQYSDDg,paranalanches94@gmail.com,Admin,Lombo,"39,99",1,44,"144,32","33,8664516129","18,9460725677","18,9460725677","47,3770256757","34,3277773256","R$ 18,95 (47,38%)","1,2992208485",5,"19,0444274323","47,6229743243","R$ 19,04 (47,62%)","R$ 19,04 (47,62%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
PQJsY0XDR-eLq129gxmeYQ,paranalanches94@gmail.com,Admin,Lombo Especial,"44,99",1,44,"144,32","33,8664516129","22,8180725677","22,8180725677","50,7180986168","34,3277773256","R$ 22,82 (50,72%)","1,2992208485",5,"19,9224274323","44,2819013832","R$ 19,92 (44,28%)","R$ 19,92 (44,28%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
26GAjQnTSm-2vfaw9qe63Q,paranalanches94@gmail.com,Admin,Moda da Casa,"52,99",1,44,"144,32","33,8664516129","21,4862725677","21,4862725677","40,5477874461","34,3277773256","R$ 21,49 (40,55%)","1,2992208485",5,"28,8542274323","54,4522125539","R$ 28,85 (54,45%)","R$ 28,85 (54,45%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
h.kM-lZdSTSkihdeoJELZQ,paranalanches94@gmail.com,Admin,Super Galinhão,"52,99",1,44,"144,32","33,8664516129","21,4862725677","21,4862725677","40,5477874461","34,3277773256","R$ 21,49 (40,55%)","1,2992208485",5,"28,8542274323","54,4522125539","R$ 28,85 (54,45%)","R$ 28,85 (54,45%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
l2YlOYbjSLiLQ7mQSpclSw,paranalanches94@gmail.com,Admin,X- Bacon,"41,7",1,44,"144,32","33,8664516129","14,1978725677","14,1978725677","34,0476560376","34,3277773256","R$ 14,20 (34,05%)","1,2992208485",5,"25,4171274323","60,9523439624","R$ 25,42 (60,95%)","R$ 25,42 (60,95%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
9rIzNWDpRISAmYygVtmUIA,paranalanches94@gmail.com,Admin,x-Burg,"32,99",1,44,"144,32","33,8664516129","12,6147549206","12,6147549206","38,2381173708","34,3277773256","R$ 12,61 (38,24%)","1,2992208485",5,"18,7257450794","56,7618826292","R$ 18,73 (56,76%)","R$ 18,73 (56,76%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
XljxSyEYQdyC71y.HgZ.ew,paranalanches94@gmail.com,Admin,X - Calabresa,"36,99",1,44,"144,32","33,8664516129","13,8138725677","13,8138725677","37,3448839354","34,3277773256","R$ 13,81 (37,34%)","1,2992208485",5,"21,3266274323","57,6551160646","R$ 21,33 (57,66%)","R$ 21,33 (57,66%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
3x-9hatmT72Qy0e1HewpWA,paranalanches94@gmail.com,Admin,X- Egg,"35,99",1,44,"144,32","33,8664516129","12,9818725677","12,9818725677","36,0707767927","34,3277773256","R$ 12,98 (36,07%)","1,2992208485",5,"21,2086274323","58,9292232073","R$ 21,21 (58,93%)","R$ 21,21 (58,93%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
PGloq2CcQ.eNe-dY-ZuHBw,paranalanches94@gmail.com,Admin,X -Frangão,"45,99",1,44,"144,32","33,8664516129","19,0362725677","19,0362725677","41,3921995384","34,3277773256","R$ 19,04 (41,39%)","1,2992208485",5,"24,6542274323","53,6078004616","R$ 24,65 (53,61%)","R$ 24,65 (53,61%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
